"Belarus","2","Very Low (<100)","53.744 27.947","Belarus"
"Italy","2","Very Low (<100)","45.3889 10.7776","Italy"
"Norway","2","Very Low (<100)","60.5366 7.4496","Norway"
"Poland","2","Very Low (<100)","52.1484 19.311","Poland"
"Czechia","3","Very Low (<100)","49.836 15.5465","Czechia"
"Finland","3","Very Low (<100)","63.0704 27.7396","Finland"
"Greece","3","Very Low (<100)","38.4414 22.1814","Greece"
"Israel","3","Very Low (<100)","30.6283 34.7087","Israel"
"United Arab Emirates","3","Very Low (<100)","23.3865 54.2485","United Arab Emirates"
"Denmark","4","Very Low (<100)","56.2196 9.3108","Denmark"
"Iceland","4","Very Low (<100)","65.0115 -18.968","Iceland"
"Spain","4","Very Low (<100)","40.3544 -3.611","Spain"
"Sweden","4","Very Low (<100)","58.581 14.246","Sweden"
"Austria","5","Very Low (<100)","47.614 14.0762","Austria"
"Belgium","5","Very Low (<100)","50.6522 4.5809","Belgium"
"Ireland","5","Very Low (<100)","53.1805 -8.01","Ireland"
"Japan","5","Very Low (<100)","36.8513 139.1112","Japan"
"Luxembourg","5","Very Low (<100)","49.7275 5.9585","Luxembourg"
"Netherlands","5","Very Low (<100)","52.157 5.2035","Netherlands"
"Slovakia","5","Very Low (<100)","48.7266 19.5075","Slovakia"
"Switzerland","5","Very Low (<100)","46.7919 8.1183","Switzerland"
"Australia","6","Very Low (<100)","-23.079 132.842","Australia"
"Cyprus","6","Very Low (<100)","34.8725 33.131","Cyprus"
"Malta","6","Very Low (<100)","35.8975 14.4185","Malta"
"Montenegro","6","Very Low (<100)","42.7891 19.2862","Montenegro"
"Germany","7","Very Low (<100)","51.143 9.829","Germany"
"Slovenia","7","Very Low (<100)","46.152 15.1315","Slovenia"
"North Macedonia","7","Very Low (<100)","41.6059 21.6977","North Macedonia"
"Turkmenistan","7","Very Low (<100)","39.4791 59.5154","Turkmenistan"
"United Kingdom","7","Very Low (<100)","52.4072 -1.7451","United Kingdom"
"Croatia","8","Very Low (<100)","46.001 16.172","Croatia"
"France","8","Very Low (<100)","46.6113 2.3336","France"
"Lithuania","8","Very Low (<100)","55.1395 23.822","Lithuania"
"Portugal","8","Very Low (<100)","38.7993 -8.3502","Portugal"
"Singapore","8","Very Low (<100)","1.3565 103.8215","Singapore"
"Estonia","9","Very Low (<100)","58.5425 26.5455","Estonia"
"New Zealand","9","Very Low (<100)","-44.7201 169.9667","New Zealand"
"Qatar","9","Very Low (<100)","25.3217 51.1836","Qatar"
"Bosnia and Herzegovina","10","Very Low (<100)","44.1809 17.8168","Bosnia and Herzegovina"
"Bulgaria","10","Very Low (<100)","42.7345 23.8815","Bulgaria"
"Canada","10","Very Low (<100)","58.838 -120.439","Canada"
"Kazakhstan","10","Very Low (<100)","48.9437 67.6303","Kazakhstan"
"Republic of Korea","11","Very Low (<100)","36.0655 127.7929","Republic of Korea"
"Hungary","12","Very Low (<100)","47.192 20.498","Hungary"
"Kuwait","12","Very Low (<100)","29.3073 47.6003","Kuwait"
"Serbia","12","Very Low (<100)","44.2085 20.7935","Serbia"
"Chile","13","Very Low (<100)","-45.7382 -72.9381","Chile"
"Bahrain","14","Very Low (<100)","26.0165 50.5475","Bahrain"
"Albania","15","Very Low (<100)","41.1413 20.0325","Albania"
"Iran","16","Very Low (<100)","31.9382 55.5426","Iran"
"Russian Federation","17","Very Low (<100)","63.4218 94.1005","Russian Federation"
"Saudi Arabia","17","Very Low (<100)","23.7603 45.0093","Saudi Arabia"
"Tajikistan","17","Very Low (<100)","38.3213 72.1918","Tajikistan"
"Turkey","17","Very Low (<100)","39.3196 34.3321","Turkey"
"Uruguay","17","Very Low (<100)","-32.781 -56.0032","Uruguay"
"Latvia","19","Very Low (<100)","56.7925 26.9435","Latvia"
"Oman","19","Very Low (<100)","22.019 57.368","Oman"
"Moldova","19","Very Low (<100)","47.2036 28.4105","Moldova"
"Romania","19","Very Low (<100)","45.857 24.9433","Romania"
"Ukraine","19","Very Low (<100)","48.8464 33.5486","Ukraine"
"United States of America","19","Very Low (<100)","39.382 -99.3421","United States of America"
"Puerto Rico (USA)","21","Very Low (<100)","18.234 -66.955","Puerto Rico (USA)"
"Georgia","25","Very Low (<100)","42.1618 43.4818","Georgia"
"Grenada","25","Very Low (<100)","12.1178 -61.6791","Grenada"
"Armenia","26","Very Low (<100)","40.2165 45.0003","Armenia"
"Azerbaijan","26","Very Low (<100)","40.2805 47.6804","Azerbaijan"
"Barbados","27","Very Low (<100)","13.1645 -59.5405","Barbados"
"Costa Rica","27","Very Low (<100)","9.9656 -84.1755","Costa Rica"
"State of Palestine","27","Very Low (<100)","31.9479 35.2478","State of Palestine"
"China","29","Very Low (<100)","32.205 109.444","China"
"Lebanon","29","Very Low (<100)","33.9117 35.8708","Lebanon"
"Malaysia","29","Very Low (<100)","5.3893 117.3568","Malaysia"
"Uzbekistan","29","Very Low (<100)","41.8936 63.8434","Uzbekistan"
"Brunei Darussalam","31","Very Low (<100)","4.6904 114.9152","Brunei Darussalam"
"Syrian Arab Republic","31","Very Low (<100)","35.0126 38.5441","Syrian Arab Republic"
"Mexico","33","Very Low (<100)","23.63 -101.97","Mexico"
"Fiji","34","Very Low (<100)","-17.814 177.759","Fiji"
"Belize","36","Very Low (<100)","17.197 -88.7035","Belize"
"Cuba","36","Very Low (<100)","20.2717 -75.3897","Cuba"
"Sri Lanka","36","Very Low (<100)","7.7004 80.6672","Sri Lanka"
"Egypt","37","Very Low (<100)","26.1939 28.8939","Egypt"
"Thailand","37","Very Low (<100)","15.4439 100.9692","Thailand"
"Argentina","39","Very Low (<100)","-31.9447 -64.1398","Argentina"
"Antigua and Barbuda","42","Very Low (<100)","17.079 -61.804","Antigua and Barbuda"
"Samoa","43","Very Low (<100)","-13.6305 -172.4382","Samoa"
"Tunisia","43","Very Low (<100)","33.7774 9.0109","Tunisia"
"Viet Nam","43","Very Low (<100)","21.5866 105.3047","Viet Nam"
"Mongolia","45","Very Low (<100)","46.1689 105.3854","Mongolia"
"El Salvador","46","Very Low (<100)","13.7262 -88.8729","El Salvador"
"Jordan","46","Very Low (<100)","30.7659 36.4909","Jordan"
"Panama","52","Very Low (<100)","8.4165 -81.7705","Panama"
"Tonga","52","Very Low (<100)","-21.1655 -175.2625","Tonga"
"Maldives","53","Very Low (<100)","4.1909 73.5081","Maldives"
"Seychelles","53","Very Low (<100)","-4.6761 55.4673","Seychelles"
"Cabo Verde","58","Very Low (<100)","15.0819 -23.6368","Cabo Verde"
"Ecuador","59","Very Low (<100)","-1.4547 -78.3841","Ecuador"
"Brazil","60","Very Low (<100)","-12.4328 -48.9943","Brazil"
"Kyrgyzstan","60","Very Low (<100)","41.7909 74.9911","Kyrgyzstan"
"Mauritius","61","Very Low (<100)","-20.2793 57.5696","Mauritius"
"Honduras","65","Very Low (<100)","14.8229 -86.5899","Honduras"
"Trinidad and Tobago","67","Very Low (<100)","10.4282 -61.3304","Trinidad and Tobago"
"Saint Vincent and the Grenadines","68","Very Low (<100)","13.2566 -61.1938","Saint Vincent and the Grenadines"
"Bahamas","70","Very Low (<100)","24.5065 -77.916","Bahamas"
"Morocco","70","Very Low (<100)","31.7 -7.1325","Morocco"
"Libya","72","Very Low (<100)","25.9354 20.7569","Libya"
"Vanuatu","72","Very Low (<100)","-15.296 166.885","Vanuatu"
"Iraq","79","Very Low (<100)","33.242 42.935","Iraq"
"Jamaica","80","Very Low (<100)","18.1125 -77.269","Jamaica"
"Colombia","83","Very Low (<100)","3.6525 -73.3121","Colombia"
"Micronesia (Federated States of)","88","Very Low (<100)","6.8827 158.234","Micronesia (Federated States of)"
"Peru","88","Very Low (<100)","-13.1699 -73.0464","Peru"
"Democratic People’s Republic of Korea","89","Very Low (<100)","39.6627 126.2592","Democratic People’s Republic of Korea"
"Kiribati","92","Very Low (<100)","0.4483 -171.6645","Kiribati"
"Dominican Republic","95","Very Low (<100)","18.8845 -70.4623","Dominican Republic"
"Guatemala","95","Very Low (<100)","15.2365 -90.7275","Guatemala"
"Nicaragua","98","Very Low (<100)","12.8482 -85.0204","Nicaragua"
"Solomon islands","104","Low (100-299)","-9.6225 160.1702","Solomon islands"
"Algeria","112","Low (100-299)","27.5231 3.1685","Algeria"
"Saint Lucia","117","Low (100-299)","13.9027 -60.9703","Saint Lucia"
"South Africa","119","Low (100-299)","-29.6482 23.1067","South Africa"
"Suriname","120","Low (100-299)","4.1199 -55.9116","Suriname"
"Philippines","121","Low (100-299)","17.3711 121.4954","Philippines"
"Venezuela","125","Low (100-299)","7.1583 -64.0124","Venezuela"
"Paraguay","84","Very Low (<100)","-21.9074 -60.1206","Paraguay"
"Sao Tome and Principe","130","Low (100-299)","0.2356 6.6075","Sao Tome and Principe"
"Pakistan","140","Low (100-299)","30.8325 71.3748","Pakistan"
"Timor-Leste","142","Low (100-299)","-8.7676 125.9664","Timor-Leste"
"Botswana","144","Low (100-299)","-21.6721 23.9051","Botswana"
"India","145","Low (100-299)","22.1596 78.9305","India"
"Papua New Guinea","145","Low (100-299)","-6.1227 143.5162","Papua New Guinea"
"Bolivia","155","Low (100-299)","-16.7289 -64.6413","Bolivia"
"Cambodia","160","Low (100-299)","12.5285 104.3905","Cambodia"
"Yemen","164","Low (100-299)","15.3921 45.4111","Yemen"
"Guyana","169","Low (100-299)","4.8175 -58.9745","Guyana"
"Bangladesh","173","Low (100-299)","23.5391 89.8049","Bangladesh"
"Indonesia","177","Low (100-299)","-0.9517 114.2118","Indonesia"
"Bhutan","183","Low (100-299)","27.5075 90.459","Bhutan"
"Lao People’s Democratic Republic","185","Low (100-299)","19.9325 102.4435","Lao People’s Democratic Republic"
"Nepal","186","Low (100-299)","28.9136 81.5974","Nepal"
"Namibia","195","Low (100-299)","-20.7238 17.0299","Namibia"
"Zambia","213","Low (100-299)","-14.9226 26.1418","Zambia"
"Angola","241","Low (100-299)","-12.2916 17.5029","Angola"
"Djibouti","248","Low (100-299)","12.169 42.904","Djibouti"
"Rwanda","248","Low (100-299)","-2.0136 29.9188","Rwanda"
"Myanmar","250","Low (100-299)","21.5841 96.1867","Myanmar"
"Gabon","252","Low (100-299)","-0.647 11.6875","Gabon"
"Comoros","273","Low (100-299)","-11.79 43.356","Comoros"
"Mozambique","289","Low (100-299)","-13.497 38.127","Mozambique"
"Sudan","295","Low (100-299)","16.5644 29.0451","Sudan"
"Equatorial Guinea","301","High (300-499)","1.647 10.2955","Equatorial Guinea"
"Ghana","308","High (300-499)","6.862 -1.092","Ghana"
"Senegal","315","High (300-499)","14.9983 -14.9588","Senegal"
"Burkina Faso","320","High (300-499)","13.0516 -0.6541","Burkina Faso"
"Madagascar","335","High (300-499)","-18.821 46.8655","Madagascar"
"Kenya","342","High (300-499)","0.4145 37.8745","Kenya"
"Malawi","349","High (300-499)","-13.3315 33.8445","Malawi"
"Uganda","375","High (300-499)","1.9676 32.9896","Uganda"
"Congo","378","High (300-499)","0.0213 16.1533","Congo"
"Togo","396","High (300-499)","8.8015 0.9075","Togo"
"Benin","397","High (300-499)","10.6795 2.2845","Benin"
"Ethiopia","401","High (300-499)","8.83 38.362","Ethiopia"
"Eswatini","437","High (300-499)","-26.4899 31.3955","Eswatini"
"Zimbabwe","458","High (300-499)","-18.907 29.7885","Zimbabwe"
"Democratic Republic of the Congo","473","High (300-499)","-1.6864 23.7526","Democratic Republic of the Congo"
"Eritrea","480","High (300-499)","15.9194 38.4016","Eritrea"
"Haiti","480","High (300-499)","19.4448 -72.1017","Haiti"
"Niger","509","Very High (500-999)","17.3457 9.3245","Niger"
"Tanzania","524","Very High (500-999)","-5.6989 34.2839","Tanzania"
"Cameroon","529","Very High (500-999)","4.5495 11.3105","Cameroon"
"Lesotho","544","Very High (500-999)","-29.6255 28.1698","Lesotho"
"Burundi","548","Very High (500-999)","-3.407 29.8885","Burundi"
"Mali","562","Very High (500-999)","18.4654 -1.9417","Mali"
"Guinea","576","Very High (500-999)","10.6071 -13.1511","Guinea"
"Gambia","597","Very High (500-999)","13.5035 -14.2265","Gambia"
"Côte d’Ivoire","617","Very High (500-999)","7.5538 -5.6121","Côte d’Ivoire"
"Afghanistan","638","Very High (500-999)","34.4754 66.8303","Afghanistan"
"Liberia","661","Very High (500-999)","6.7929 -9.9769","Liberia"
"Guinea-Bissau","667","Very High (500-999)","12.0227 -15.1106","Guinea-Bissau"
"Mauritania","766","Very High (500-999)","19.1695 -9.4755","Mauritania"
"Central African Republic","829","Very High (500-999)","7.2596 21.6691","Central African Republic"
"Somalia","829","Very High (500-999)","2.7589 42.8847","Somalia"
"Nigeria","917","Very High (500-999)","9.6551 8.1061","Nigeria"
"Sierra Leone","1120","Extremely High (>1000)","8.5306 -11.7953","Sierra Leone"
"Chad","1140","Extremely High (>1000)","17.1223 19.3602","Chad"
"South Sudan","1150","Extremely High (>1000)","7.2928 30.1985","South Sudan"
